qid,hop_type,n_perm,mean_f1,sd_f1,min_f1,max_f1,range_f1
5ac0e74d554299294b219052,comparison,5,1.0000,0.0000,1.0000,1.0000,0.0000
5ac170af5542994d76dcce20,comparison,5,0.0000,0.0000,0.0000,0.0000,0.0000
5ac1bce45542994ab5c67def,comparison,5,0.0000,0.0000,0.0000,0.0000,0.0000
5ac1bff05542994ab5c67dfc,bridge,5,0.5714,0.0000,0.5714,0.5714,0.0000
5ac31602554299741d48a1bf,bridge,5,0.8000,0.4472,0.0000,1.0000,1.0000
5ac3ad7f5542995ef918c1de,bridge,5,0.3583,0.4522,0.0000,1.0000,1.0000
5ac4392e5542997ea680ca32,comparison,5,0.6000,0.5477,0.0000,1.0000,1.0000
5ac4d717554299076e296e0e,bridge,5,0.4000,0.5477,0.0000,1.0000,1.0000
5ac4f04e5542995c82c4ad81,bridge,5,1.0000,0.0000,1.0000,1.0000,0.0000
5adbc8e25542996e68525230,bridge,5,0.0000,0.0000,0.0000,0.0000,0.0000
5adc393f5542996e685252e7,comparison,5,0.2356,0.2186,0.0000,0.4444,0.4444
5add22bc5542992ae4cec49f,bridge,5,0.5139,0.4455,0.1250,1.0000,0.8750
5add38355542990dbb2f7dd0,bridge,5,0.4000,0.5477,0.0000,1.0000,1.0000
5add39c45542995b365faac5,comparison,5,0.2000,0.4472,0.0000,1.0000,1.0000
5add566b5542995b365fab14,bridge,5,0.3333,0.0000,0.3333,0.3333,0.0000
5ade6b67554299728e26c71c,bridge,5,0.0000,0.0000,0.0000,0.0000,0.0000
5ade78e255429939a52fe8d0,bridge,5,0.8000,0.4472,0.0000,1.0000,1.0000
5adebc51554299728e26c799,bridge,5,0.2667,0.1491,0.0000,0.3333,0.3333
5ae0036a55429942ec259bdf,bridge,5,0.0000,0.0000,0.0000,0.0000,0.0000
5ae09a6b55429924de1b710d,bridge,5,0.8667,0.1826,0.6667,1.0000,0.3333
5ae22f4e5542996483e6492f,bridge,5,0.0000,0.0000,0.0000,0.0000,0.0000
5ae26c795542992decbdccfb,bridge,5,0.2667,0.3651,0.0000,0.6667,0.6667
5ae305355542992decbdcdc2,bridge,5,0.0000,0.0000,0.0000,0.0000,0.0000
5ae3205c55429928c423961e,bridge,5,1.0000,0.0000,1.0000,1.0000,0.0000
5ae3376455429928c4239688,bridge,5,0.0000,0.0000,0.0000,0.0000,0.0000
5ae3f1bb5542995ad6573cbe,comparison,5,1.0000,0.0000,1.0000,1.0000,0.0000
5ae3f4fe5542995ad6573ce8,comparison,5,0.2000,0.4472,0.0000,1.0000,1.0000
5ae4627d5542991a06ce9a4d,bridge,5,0.2000,0.4472,0.0000,1.0000,1.0000
5ae48e7e55429913cc20449d,bridge,5,1.0000,0.0000,1.0000,1.0000,0.0000
5ae56a3f5542992663a4f1f4,bridge,5,0.0000,0.0000,0.0000,0.0000,0.0000
5ae5cf0b55429929b08079aa,bridge,5,0.0400,0.0894,0.0000,0.2000,0.2000
5ae601e45542992663a4f23b,bridge,5,0.8800,0.1095,0.8000,1.0000,0.2000
